"Date","first_purchase_os_name","totalOS"
"2018-10-17","Windows 10",4928
"2019-12-02","Windows 10",4919
"2020-05-12","Mac OS X",4913
"2020-03-10","Windows 10",4908
"2020-05-14","Windows 10",4903
"2020-05-05","Mac OS X",4903
"2021-07-14","Windows 10",4898
"2021-09-08","Windows 10",4891
"2016-11-03","Mac OS X",4873
"2019-04-10","Windows 10",4870
"2019-02-27","Windows 10",4867
"2019-04-25","Windows 10",4854
"2021-11-10","Windows 10",4851
"2021-10-05","Windows 10",4848
"2021-07-21","Windows 10",4846
"2020-10-13","Windows 10",4840
"2018-03-14","Windows 10",4838
"2019-02-13","Mac OS X",4838
"2021-08-18","Windows 10",4836
"2018-03-14","Mac OS X",4830
"2018-04-11","Windows 10",4829
"2021-10-13","Windows 10",4824
"2019-10-02","Windows 10",4819
"2021-01-27","Mac OS X",4817
"2016-06-21","Mac OS X",4812
"2021-03-03","Mac OS X",4812
"2020-11-24","Windows 10",4811
"2019-11-13","Windows 10",4797
"2020-07-22","Mac OS X",4797
"2020-07-15","Mac OS X",4786
"2021-01-28","Windows 10",4784
"2020-07-08","Mac OS X",4783
"2021-08-31","Windows 10",4782
"2020-04-28","Mac OS X",4775
"2020-05-19","Mac OS X",4769
"2020-12-01","Mac OS X",4760
"2021-02-03","Mac OS X",4758
"2019-03-12","Windows 10",4755
"2021-11-02","Windows 10",4755
"2021-12-08","Windows 10",4749
"2020-07-29","Mac OS X",4744
"2021-03-04","Windows 10",4727
"2021-06-01","Windows 10",4722
"2019-10-30","Windows 10",4720
"2021-01-21","Windows 10",4720
"2021-01-13","Mac OS X",4720
"2018-04-25","Windows 10",4720
"2018-09-05","Windows 10",4716
"2020-01-28","Windows 10",4713
"2019-07-10","Windows 10",4711
"2019-08-07","Windows 10",4709
"2021-01-07","Windows 10",4707
"2017-06-21","Mac OS X",4698
"2021-01-20","Mac OS X",4698
"2018-01-30","Windows 10",4698
"2019-07-24","Windows 10",4698
"2021-01-14","Windows 10",4696
"2021-02-18","Windows 10",4694
"2021-11-24","Windows 10",4690
"2021-06-08","Windows 10",4683
"2020-04-22","Windows 10",4682
"2021-10-14","Windows 10",4674
"2020-05-28","Windows 10",4674
"2020-05-07","Windows 10",4672
"2020-02-12","Windows 10",4671
"2020-05-21","Windows 10",4670
"2021-03-11","Windows 10",4668
"2020-09-02","Mac OS X",4665
"2021-03-18","Windows 10",4665
"2018-11-27","Windows 10",4663
"2019-02-12","Windows 10",4655
"2020-01-14","Windows 10",4655
"2017-02-14","Windows 10",4655
"2021-03-17","Mac OS X",4651
"2020-07-09","Windows 10",4639
"2020-06-11","Windows 10",4639
"2018-11-26","Windows 10",4633
"2020-06-24","Mac OS X",4631
"2020-01-29","Mac OS X",4629
"2020-08-26","Mac OS X",4620
"2016-04-08","Mac OS X",4620
"2020-11-03","Windows 10",4617
"2019-05-09","Windows 10",4613
"2020-06-04","Windows 10",4613
"2020-05-26","Mac OS X",4613
"2021-06-15","Windows 10",4612
"2021-01-06","Mac OS X",4607
"2018-03-28","Windows 10",4606
"2018-05-23","Windows 10",4601
"2020-07-30","Windows 10",4600
"2020-02-11","Windows 10",4597
"2017-06-21","Windows 10",4597
"2018-01-30","Mac OS X",4590
"2021-11-18","Windows 10",4589
"2021-06-29","Windows 10",4587
"2019-03-27","Mac OS X",4587
"2021-08-03","Windows 10",4584
"2018-11-27","Mac OS X",4582
"2021-02-04","Windows 10",4581
"2021-11-29","Windows 10",4573
"2018-10-17","Mac OS X",4572
"2019-03-14","Mac OS X",4571
"2021-08-10","Windows 10",4571
"2020-12-08","Windows 10",4569
"2020-08-19","Mac OS X",4568
"2021-07-13","Windows 10",4567
"2018-04-11","Mac OS X",4560
"2021-06-22","Windows 10",4559
"2021-10-19","Windows 10",4555
"2020-08-05","Mac OS X",4551
"2021-09-14","Windows 10",4546
"2020-03-24","Windows 10",4544
"2016-09-15","Mac OS X",4533
"2018-11-26","Mac OS X",4525
"2017-02-15","Windows 10",4524
"2021-02-25","Windows 10",4524
"2020-09-09","Mac OS X",4519
"2021-11-09","Windows 10",4511
"2021-11-16","Windows 10",4508
"2018-02-14","Windows 10",4496
"2020-03-11","Mac OS X",4493
"2018-10-31","Windows 10",4492
"2021-02-10","Mac OS X",4490
"2018-06-06","Windows 10",4481
"2017-11-27","Mac OS X",4481
"2019-01-30","Mac OS X",4477
"2017-05-24","Mac OS X",4477
"2020-07-02","Windows 10",4476
"2020-09-16","Mac OS X",4472
"2021-08-17","Windows 10",4471
"2021-03-31","Mac OS X",4469
"2020-12-23","Windows 10",4466
"2020-06-18","Windows 10",4466
"2021-12-15","Windows 10",4464
"2018-09-05","Mac OS X",4462
"2021-03-10","Mac OS X",4457
"2021-04-08","Windows 10",4454
"2020-09-30","Mac OS X",4453
"2017-11-02","Windows 10",4453
"2020-11-11","Mac OS X",4449
"2021-07-06","Windows 10",4444
"2021-02-24","Mac OS X",4440
"2019-06-06","Windows 10",4431
"2019-12-11","Windows 10",4430
"2020-10-28","Mac OS X",4429
"2021-03-25","Windows 10",4428
"2020-12-29","Windows 10",4427
"2020-11-18","Mac OS X",4426
"2020-10-21","Mac OS X",4423
"2021-02-11","Windows 10",4421
"2020-07-23","Windows 10",4420
"2020-06-16","Mac OS X",4418
"2020-06-09","Mac OS X",4411
"2020-12-02","Windows 10",4408
"2018-03-28","Mac OS X",4407
"2021-09-21","Windows 10",4403
"2021-02-17","Mac OS X",4399
"2018-02-14","Mac OS X",4395
"2018-10-03","Windows 10",4393
"2017-05-24","Windows 10",4390
"2021-03-24","Mac OS X",4390
"2021-04-01","Windows 10",4387
"2021-02-01","Windows 10",4381
"2020-08-12","Mac OS X",4380
"2020-07-16","Windows 10",4378
"2021-12-29","Windows 10",4369
"2020-04-01","Windows 10",4365
"2019-05-23","Windows 10",4363
"2021-04-07","Mac OS X",4360
"2020-01-15","Mac OS X",4360
"2017-11-02","Mac OS X",4357
"2021-07-20","Windows 10",4355
"2018-11-21","Mac OS X",4353
"2020-12-15","Windows 10",4346
"2020-06-30","Mac OS X",4345
"2021-10-12","Windows 10",4343
"2020-10-07","Mac OS X",4342
"2018-05-23","Mac OS X",4337
"2018-04-25","Mac OS X",4336
"2021-09-28","Windows 10",4336
"2021-08-24","Windows 10",4334
"2020-02-26","Mac OS X",4329
"2019-03-26","Windows 10",4329
"2020-10-14","Mac OS X",4326
"2020-08-20","Windows 10",4318
"2021-04-28","Mac OS X",4312
"2020-02-25","Windows 10",4298
"2020-06-25","Windows 10",4294
"2018-09-19","Windows 10",4293
"2021-03-01","Windows 10",4285
"2021-04-15","Windows 10",4281
"2019-01-15","Windows 10",4280
"2020-08-13","Windows 10",4274
"2020-09-17","Windows 10",4273
"2021-09-07","Windows 10",4270
"2020-07-07","Mac OS X",4266
"2021-07-27","Windows 10",4264
"2020-09-03","Windows 10",4261
"2021-11-23","Windows 10",4260
"2019-09-17","Windows 10",4255
"2018-08-22","Windows 10",4255
"2020-08-06","Windows 10",4250
"2020-09-23","Mac OS X",4250
"2018-06-20","Windows 10",4247
"2014-05-21","Windows 7",4247
"2019-06-20","Windows 10",4245
"2021-04-21","Mac OS X",4243
"2020-09-10","Windows 10",4242
"2020-03-30","Mac OS X",4235
"2018-12-05","Windows 10",4221
"2019-01-29","Windows 10",4219
"2019-09-04","Mac OS X",4218
"2016-11-03","Windows 10",4216
"2019-12-30","Windows 10",4215
"2018-07-25","Windows 10",4209
"2020-04-27","Windows 10",4206
"2021-12-07","Windows 10",4201
"2021-09-30","Windows 10",4196
"2020-11-30","Mac OS X",4195
"2017-04-19","Mac OS X",4191
"2018-08-08","Windows 10",4191
"2020-09-24","Windows 10",4188
"2020-10-01","Windows 10",4187
"2020-11-25","Mac OS X",4186
"2021-04-14","Mac OS X",4185
"2017-09-14","Windows 10",4178
"2020-03-26","Windows 10",4178
"2019-04-25","Mac OS X",4173
"2017-07-25","Windows 10",4163
"2020-08-27","Windows 10",4160
"2020-05-04","Windows 10",4146
"2020-02-13","Mac OS X",4145
"2019-09-03","Windows 10",4144
"2020-06-23","Mac OS X",4140
"2019-11-26","Windows 10",4138
"2020-11-19","Windows 10",4135
"2020-06-02","Mac OS X",4135
"2018-10-31","Mac OS X",4134
"2021-12-14","Windows 10",4128
"2019-10-15","Windows 10",4127
"2019-02-27","Mac OS X",4126
"2020-04-23","Windows 10",4124
"2019-10-29","Windows 10",4124
"2021-04-29","Windows 10",4123
"2021-05-05","Mac OS X",4106
"2018-02-27","Windows 10",4103
"2017-11-27","Windows 10",4101
"2020-10-22","Windows 10",4092
"2020-04-30","Mac OS X",4087
"2016-11-02","Mac OS X",4087
"2019-09-18","Mac OS X",4084
"2019-06-26","Windows 10",4083
"2020-04-16","Mac OS X",4076
"2021-05-20","Windows 10",4074
"2018-05-09","Windows 10",4072
"2019-08-20","Windows 10",4070
"2017-09-14","Mac OS X",4064
"2019-02-12","Mac OS X",4063
"2018-10-03","Mac OS X",4062
"2019-03-12","Mac OS X",4061
"2017-07-25","Mac OS X",4059
