"Date","first_purchase_os_name","totalOS"
"2019-05-23","Chrome OS",91
"2013-10-09","Windows Vista",91
"2021-03-12","Chrome OS",91
"2019-01-02","Android",91
"2020-01-17","Android",91
"2020-03-26","Chrome OS",91
"2014-08-13","Windows XP",91
"2014-10-06","Windows XP",90
"2020-12-09","Android",90
"2013-01-19","Windows XP",90
"2020-06-06","Chrome OS",90
"2013-06-15","Windows 8",90
"2013-05-28","Windows Vista",90
"2019-01-19","Mac OS X (iPhone)",90
"2020-01-09","Android",90
"2013-05-10","Windows Vista",90
"2019-11-01","Android",90
"2013-11-21","Windows Vista",90
"2019-08-11","Windows 8.1",90
"2013-06-13","Windows Vista",90
"2016-09-14","Windows XP",90
"2013-12-22","Windows 8",90
"2021-02-26","Chrome OS",90
"2014-03-20","Windows Vista",90
"2018-07-02","Mac OS X (iPhone)",90
"2017-06-21","Windows XP",90
"2019-07-12","Android",90
"2020-03-08","Windows 8.1",90
"2021-02-09","Android",90
"2014-06-17","Windows XP",90
"2021-07-04","Windows 7",90
"2013-04-14","Windows 8",90
"2012-11-04","Windows Vista",90
"2021-01-30","Chrome OS",90
"2021-06-17","Chrome OS",90
"2021-08-21","Android 1.x",90
"2015-11-24","Windows Vista",90
"2015-05-12","Windows XP",90
"2020-06-11","Android 1.x",90
"2019-07-24","Chrome OS",90
"2021-04-15","Windows 8.1",90
"2019-10-02","Chrome OS",90
"2014-09-16","Windows XP",90
"2019-10-28","Android",90
"2017-11-24","Android",90
"2021-01-08","Chrome OS",90
"2019-11-13","Chrome OS",90
"2013-02-08","Windows Vista",90
"2021-02-22","Windows 8.1",90
"2020-12-31","Windows 8.1",90
"2017-11-20","Android",90
"2019-03-01","Android",90
"2020-11-12","Chrome OS",90
"2021-01-18","Windows 8.1",90
"2020-04-06","Android",90
"2021-04-26","Windows 8.1",90
"2021-01-18","Chrome OS",90
"2020-12-14","Android 1.x",90
"2021-10-16","Windows 7",90
"2016-02-13","Windows XP",90
"2020-06-01","Android",90
"2018-12-16","Windows 8.1",90
"2015-05-20","Windows XP",90
"2021-02-22","Chrome OS",90
"2017-05-24","Windows 8",90
"2019-01-05","Android",90
"2013-01-16","Windows Vista",90
"2013-09-18","Windows Vista",90
"2016-02-10","Windows 8",90
"2020-09-08","Android",90
"2020-03-03","Android",90
"2018-12-12","Mac OS X (iPhone)",90
"2019-04-19","Android",90
"2020-11-23","Windows 8.1",90
"2014-10-25","Windows 8",90
"2020-10-12","Android 1.x",90
"2013-04-13","Windows 8",90
"2020-07-06","Android",90
"2020-07-04","Windows 8.1",90
"2021-12-02","Chrome OS",90
"2019-03-16","Mac OS X (iPhone)",90
"2012-11-21","Windows Vista",90
"2019-08-24","Windows 8.1",90
"2013-07-25","Windows Vista",90
"2013-12-10","Windows 8.1",90
"2015-10-29","Windows Vista",90
"2013-01-09","Windows Vista",90
"2013-05-25","Windows 8",90
"2013-01-30","Windows 8",90
"2015-12-22","Windows XP",90
"2015-02-03","Windows 8",90
"2012-11-27","Windows Vista",90
"2020-04-27","Android",90
"2013-08-09","Windows Vista",90
"2019-10-10","Android",90
"2021-09-30","Chrome OS",90
"2021-01-24","Chrome OS",89
"2014-04-22","Windows Vista",89
"2020-03-01","Windows 8.1",89
"2012-11-07","Windows Vista",89
"2012-11-09","Windows Vista",89
"2013-12-09","Windows Vista",89
"2021-12-15","Windows 8.1",89
"2013-04-06","Windows XP",89
"2014-06-25","Windows Vista",89
"2020-08-30","Windows 8.1",89
"2013-09-11","Windows Vista",89
"2021-10-31","Android 1.x",89
"2020-02-08","Windows 8.1",89
"2019-07-04","Android",89
"2019-05-28","Android",89
"2021-02-19","Windows 8.1",89
"2021-12-29","Windows 8.1",89
"2020-06-27","Chrome OS",89
"2021-04-18","Chrome OS",89
"2015-06-16","Windows 8",89
"2013-10-17","Windows Vista",89
"2021-01-11","Windows 8.1",89
"2015-04-13","Windows XP",89
"2016-06-18","iOS 9 (iPhone)",89
"2019-06-24","Android",89
"2021-09-25","Android 1.x",89
"2018-11-13","Mac OS X (iPhone)",89
"2020-11-27","Chrome OS",89
"2021-02-05","Windows 8.1",89
"2020-08-15","Windows 8.1",89
"2019-02-12","Chrome OS",89
"2021-11-06","Android 1.x",89
"2018-03-19","Mac OS X (iPhone)",89
"2021-02-26","Windows 8.1",89
"2014-02-22","Windows XP",89
"2020-10-05","Chrome OS",89
"2018-10-29","Android",89
"2021-02-27","Chrome OS",89
"2014-03-17","Windows Vista",89
"2021-03-15","Windows 8.1",89
"2021-11-27","Android 1.x",89
"2013-06-28","Windows Vista",89
"2020-03-04","Chrome OS",89
"2014-02-20","Windows Vista",89
"2021-09-08","Chrome OS",89
"2013-05-23","Windows Vista",89
"2019-07-19","Android",89
"2019-12-04","Android",89
"2021-08-15","Windows 7",89
"2013-07-01","Windows Vista",89
"2020-02-16","Mac OS X (iPhone)",89
"2021-07-06","Chrome OS",89
"2014-09-13","Windows 8",89
"2020-12-10","Chrome OS",89
"2018-09-30","Windows 8.1",89
"2021-08-02","Chrome OS",88
"2021-11-16","Chrome OS",88
"2020-01-10","Android",88
"2015-04-28","Windows XP",88
"2014-05-30","Windows Vista",88
"2021-09-14","Windows 8.1",88
"2018-08-14","Android",88
"2020-09-14","Android 1.x",88
"2015-03-09","Windows XP",88
"2020-06-18","Android",88
"2019-07-16","Android",88
"2015-06-23","Windows 8",88
"2018-08-15","Mac OS X (iPhone)",88
"2013-01-22","Windows Vista",88
"2021-10-13","Windows 8.1",88
"2021-08-03","Chrome OS",88
"2019-12-07","Windows 8.1",88
"2021-08-31","Windows 8.1",88
"2019-11-30","Mac OS X (iPhone)",88
"2014-04-09","Windows Vista",88
"2013-09-05","Windows Vista",88
"2014-09-25","Windows Vista",88
"2019-03-24","Mac OS X (iPhone)",88
"2019-06-11","Android",88
"2020-06-19","Chrome OS",88
"2020-07-13","Android 1.x",88
"2014-11-07","Windows 8",88
"2014-10-21","Windows XP",88
"2021-07-13","Windows 8.1",88
"2013-07-18","Windows Vista",88
"2019-09-10","Android",88
"2021-11-12","Chrome OS",88
"2013-10-23","Windows Vista",88
"2013-12-25","Windows 8",88
"2013-02-09","Windows Vista",88
"2021-11-17","Chrome OS",88
"2020-03-04","Android",88
"2019-05-28","Mac OS X (iPhone)",88
"2013-07-09","Windows Vista",88
"2018-11-15","Mac OS X (iPhone)",88
"2019-11-06","Android",88
"2014-08-11","Windows XP",88
"2020-02-24","Android",88
"2019-12-09","Android",88
"2020-07-27","Chrome OS",88
"2019-06-23","Windows 8.1",88
"2014-04-26","Windows XP",88
"2020-10-12","Chrome OS",88
"2013-09-16","Windows Vista",88
"2015-07-28","Windows 8",88
"2021-07-28","Chrome OS",88
"2020-09-07","Windows 8.1",88
"2021-10-10","Android 1.x",88
"2019-07-31","Android",88
"2014-06-13","Windows XP",88
"2020-08-28","Chrome OS",88
"2015-11-27","Windows XP",88
"2013-09-17","Windows Vista",88
"2013-11-09","Windows XP",88
"2019-04-14","Mac OS X (iPhone)",88
"2015-03-26","Windows 8",88
"2013-11-30","Windows XP",88
"2013-07-02","Windows Vista",88
"2020-03-05","Chrome OS",88
"2019-04-06","Android",88
"2014-03-09","Windows XP",88
"2013-02-18","Windows 8",88
"2018-10-17","Chrome OS",88
"2015-06-10","Windows XP",88
"2018-09-03","Android",88
"2013-04-24","Windows Vista",88
"2019-05-11","Android",88
"2020-12-30","Android",88
"2019-07-05","Android",88
"2019-01-24","Android",88
"2020-03-24","Chrome OS",88
"2020-10-03","Windows 8.1",88
"2019-06-14","Android",88
"2012-11-29","Windows Vista",88
"2019-08-09","Android",88
"2016-11-01","Mac OS X (iPhone)",88
"2013-09-22","Windows XP",88
"2019-07-12","Mac OS X (iPhone)",88
"2015-06-20","Windows XP",88
"2021-08-27","Chrome OS",88
"2013-05-30","Windows Vista",88
"2013-10-10","Windows Vista",88
"2021-09-24","Android 1.x",88
"2013-02-03","Windows XP",88
"2020-09-21","Chrome OS",88
"2021-01-29","Chrome OS",87
"2021-02-28","Chrome OS",87
"2021-10-20","Windows 8.1",87
"2021-03-14","Chrome OS",87
"2013-05-03","Windows Vista",87
"2019-08-02","Android",87
"2014-04-18","Windows XP",87
"2021-12-06","Chrome OS",87
"2020-06-07","Chrome OS",87
"2020-08-07","Windows 8.1",87
"2020-03-05","Android",87
"2018-05-24","Android",87
"2019-09-01","Android",87
"2019-08-06","Chrome OS",87
"2021-04-16","Chrome OS",87
"2019-01-10","Android",87
"2019-06-16","Windows 8.1",87
"2021-05-01","Chrome OS",87
"2021-11-14","Windows 7",87
"2013-04-07","Windows Vista",87
"2021-01-08","Windows 8.1",87
"2014-04-23","Windows Vista",87
"2013-08-07","Windows Vista",87
"2020-01-03","Android",87
"2020-08-14","Android 1.x",87
"2014-10-22","Windows XP",87
"2021-09-11","Windows 7",87
"2020-05-16","Android",87
"2014-05-05","Windows Vista",87
"2020-09-04","Chrome OS",87
"2020-09-25","Chrome OS",87
"2015-08-26","Windows 8",87
"2014-04-29","Windows Vista",87
"2013-03-09","Windows XP",87
"2021-02-07","Windows 8.1",87
"2013-06-05","Windows Vista",87
"2019-11-17","Windows 8.1",87
"2021-07-25","Windows 7",87
"2018-04-23","Mac OS X (iPhone)",87
"2017-02-10","Mac OS X (iPhone)",87
"2013-06-10","Windows Vista",87
"2013-11-13","Windows Vista",87
"2019-11-20","Android",87
"2021-02-12","Chrome OS",87
"2019-11-25","Android",87
"2018-08-30","Mac OS X (iPhone)",87
"2019-04-21","Windows 8.1",87
"2018-11-19","Android",87
"2013-01-23","Windows Vista",87
"2021-10-09","Windows 7",87
"2019-12-08","Mac OS X (iPhone)",87
"2015-01-19","Windows XP",87
"2020-01-23","Android",87
"2014-09-06","Windows 8",87
"2019-12-19","Mac OS X (iPhone)",87
"2021-08-29","Android 1.x",87
"2020-09-18","Windows 8.1",87
"2018-04-26","Android",87
"2021-06-01","Chrome OS",87
"2019-08-05","Android",87
"2018-12-25","Android",87
"2019-10-20","Windows 8.1",87
"2014-09-11","Windows XP",87
"2019-12-07","Mac OS X (iPhone)",87
"2021-08-04","Windows 8.1",87
"2018-08-24","Mac OS X (iPhone)",87
"2015-02-11","Windows Vista",87
"2020-06-28","Windows 8.1",87
"2021-07-15","Windows 8.1",87
"2015-01-28","Windows 8",87
"2021-02-15","Chrome OS",87
"2018-07-09","Mac OS X (iPhone)",87
"2013-05-04","Windows 8",87
"2018-10-19","Mac OS X (iPhone)",87
"2020-12-23","Chrome OS",87
"2020-01-18","Android",86
"2014-08-18","Windows XP",86
"2021-12-24","Android 1.x",86
"2020-07-17","Android",86
"2019-05-14","Android",86
"2020-11-27","Windows 8.1",86
"2012-11-08","Windows Vista",86
"2018-08-31","Mac OS X (iPhone)",86
"2014-02-21","Windows Vista",86
"2021-09-19","Windows 7",86
"2015-01-28","Windows XP",86
"2013-04-07","Windows XP",86
"2021-05-20","Windows 8.1",86
"2015-10-27","Windows Vista",86
"2021-03-26","Chrome OS",86
"2019-10-04","Android",86
"2019-02-17","Android",86
"2015-04-23","Windows XP",86
"2020-11-16","Chrome OS",86
"2013-05-24","Windows Vista",86
"2020-02-15","Windows 8.1",86
"2014-08-29","Windows XP",86
"2021-10-11","Chrome OS",86
"2021-02-20","Android 1.x",86
"2014-07-16","Windows Vista",86
"2019-07-30","Android",86
"2020-07-25","Windows 8.1",86
"2018-05-15","Mac OS X (iPhone)",86
"2014-03-02","Windows XP",86
"2020-06-14","Android",86
"2021-05-12","Android",86
"2021-02-11","Android",86
"2021-02-08","Windows 8.1",86
"2021-09-08","Windows 8.1",86
"2021-04-01","Windows 8.1",86
"2021-01-10","Chrome OS",86
"2020-11-05","Chrome OS",86
"2021-10-07","Chrome OS",86
"2014-06-05","Windows Vista",86
"2020-08-11","Android",86
"2020-03-09","Android",86
"2020-07-20","Android 1.x",86
"2021-06-27","Android 1.x",86
"2013-05-12","Windows 8",86
"2019-08-30","Android",86
"2021-04-30","Chrome OS",86
"2021-10-24","Android 1.x",86
"2021-07-10","Android 1.x",86
"2014-04-17","Windows Vista",86
"2020-09-28","Android 1.x",86
"2015-05-06","Windows 8",86
"2021-07-06","Windows 8.1",86
"2021-11-07","Android 1.x",86
"2020-06-13","Android",86
"2013-12-05","Windows Vista",86
"2018-11-29","Mac OS X (iPhone)",86
"2015-05-21","Windows XP",86
"2014-10-07","Windows XP",86
"2021-05-06","Windows 8.1",86
"2013-02-15","Windows Vista",86
"2020-05-18","Android",86
"2020-07-06","Android 1.x",86
"2019-01-15","Chrome OS",86
"2013-10-06","Windows XP",86
"2019-07-27","Windows 8.1",86
"2014-04-24","Windows Vista",86
"2016-06-15","Windows XP",86
"2021-09-23","Chrome OS",86
"2019-04-25","Chrome OS",86
"2019-07-03","Mac OS X (iPhone)",86
"2015-03-10","Windows 8",86
"2020-02-20","Android",86
"2020-08-29","Android 1.x",86
"2021-11-30","Chrome OS",86
"2018-05-23","Chrome OS",86
"2014-08-23","Windows 8",86
"2021-03-25","Android",86
"2020-10-09","Windows 8.1",86
"2014-08-12","Windows Vista",86
"2014-08-25","Windows Vista",86
"2014-02-14","Windows Vista",86
"2020-08-07","Chrome OS",86
"2015-11-26","Windows Vista",86
"2020-01-31","Android",86
"2013-02-03","Windows Vista",86
"2021-10-12","Chrome OS",86
"2014-01-08","Windows Vista",86
"2018-10-25","Mac OS X (iPhone)",86
"2020-11-27","Android 1.x",86
"2013-02-24","Windows XP",86
"2015-05-28","Windows XP",86
"2020-09-11","Windows 8.1",86
"2014-09-22","Windows XP",85
"2018-02-28","iOS (iPad)",85
"2018-12-07","Mac OS X (iPhone)",85
"2020-12-16","Android",85
"2018-08-17","Mac OS X (iPhone)",85
"2021-11-09","Chrome OS",85
"2014-01-24","Windows Vista",85
"2019-01-22","Android",85
"2013-01-11","Windows Vista",85
"2014-08-12","Windows XP",85
"2021-07-03","Windows 7",85
"2016-04-07","Windows Vista",85
"2020-12-03","Chrome OS",85
"2021-01-22","Windows 8.1",85
"2019-11-16","Mac OS X (iPhone)",85
"2016-04-05","Windows 8",85
"2013-03-09","Windows Vista",85
"2020-09-03","Android",85
"2014-10-20","Windows XP",85
"2014-12-02","Windows Vista",85
"2020-06-26","Chrome OS",85
"2015-11-30","Windows Vista",85
"2021-07-02","Chrome OS",85
"2015-05-28","Windows 8",85
"2020-12-17","Chrome OS",85
"2021-02-08","Chrome OS",85
"2013-04-27","Windows 8",85
"2013-01-24","Windows Vista",85
"2015-01-29","Windows XP",85
"2014-09-08","Windows XP",85
"2020-07-27","Android 1.x",85
"2021-10-05","Windows 8.1",85
"2013-05-15","Windows Vista",85
"2021-11-06","Windows 7",85
"2019-01-23","Android",85
"2013-12-03","Windows Vista",85
"2019-05-29","Android",85
"2020-06-22","Android",85
"2021-07-29","Chrome OS",85
"2020-08-16","Windows 8.1",85
"2020-11-03","Android",85
"2019-08-29","Android",85
"2014-03-22","Windows XP",85
"2014-02-17","Windows Vista",85
"2014-11-27","Windows Vista",85
"2021-10-17","Windows 7",85
"2020-12-12","Android 1.x",85
"2021-07-16","Chrome OS",85
"2016-02-13","Windows 8",85
"2019-04-20","Windows 8.1",85
"2013-03-10","Windows XP",85
"2018-06-06","Chrome OS",85
"2014-12-03","Windows 8",85
"2014-03-24","Windows Vista",85
"2021-06-23","Chrome OS",85
"2015-04-07","Windows 8",85
"2014-12-10","Windows 8",85
"2013-04-18","Windows Vista",85
"2021-12-14","Chrome OS",85
"2015-06-01","Windows XP",85
"2019-08-13","Android",85
"2013-06-06","Windows Vista",85
"2018-11-30","Mac OS X (iPhone)",85
"2014-05-01","Windows Vista",85
"2018-10-25","Android",85
"2020-07-13","Android",85
"2021-10-12","Windows 8.1",85
"2013-07-11","Windows Vista",85
"2013-12-11","Windows 8.1",85
"2021-07-20","Windows 8.1",85
"2013-12-27","Windows XP",85
"2021-06-12","Android 1.x",85
"2020-06-06","Android",85
"2020-05-03","Chrome OS",85
"2021-04-25","Chrome OS",85
"2014-01-06","Windows Vista",85
"2014-04-14","Windows Vista",85
"2013-06-11","Windows Vista",85
"2013-08-16","Windows Vista",85
"2020-12-28","Windows 8.1",85
"2014-08-04","Windows XP",85
"2020-09-13","Chrome OS",85
"2015-10-31","Windows Vista",85
"2019-10-05","Windows 8.1",85
"2015-02-23","Windows 8",85
"2015-03-20","Windows XP",85
"2013-10-01","Windows Vista",84
"2018-01-29","Mac OS X (iPhone)",84
"2013-08-23","Windows Vista",84
"2021-01-25","Windows 8.1",84
"2013-08-02","Windows Vista",84
"2019-05-18","Windows 8.1",84
"2019-09-15","Mac OS X (iPhone)",84
"2021-11-22","Chrome OS",84
"2015-11-26","Mac OS X (iPhone)",84
"2018-09-12","Mac OS X (iPhone)",84
"2014-01-18","Windows XP",84
"2019-11-30","Windows 8.1",84
"2017-11-22","Android",84
"2012-12-03","Windows Vista",84
"2020-10-31","Android 1.x",84
"2012-11-30","Windows Vista",84
"2017-12-04","Mac OS X (iPhone)",84
"2018-08-29","Mac OS X (iPhone)",84
"2020-09-10","Android",84
"2020-12-22","Windows 8.1",84
"2017-12-29","Android",84
"2020-04-16","Android 1.x",84
"2019-04-23","Chrome OS",84
"2020-08-14","Chrome OS",84
"2012-12-20","Windows 8",84
"2014-06-18","Windows Vista",84
"2020-12-07","Windows 8.1",84
"2013-07-08","Windows Vista",84
"2019-08-18","Mac OS X (iPhone)",84
"2018-08-13","Android",84
"2019-05-03","Android",84
"2014-05-17","Windows XP",84
"2018-04-02","Mac OS X (iPhone)",84
"2018-04-10","Chrome OS",84
"2013-01-12","Windows XP",84
"2013-08-12","Windows Vista",84
"2021-09-25","Windows 7",84
"2021-08-24","Chrome OS",84
"2015-03-16","Windows 8",84
"2013-01-25","Windows Vista",84
"2013-11-20","Windows 8.1",84
"2020-06-08","Android",84
"2021-03-08","Windows 8.1",84
"2014-01-01","Windows 8.1",84
"2019-06-08","Mac OS X (iPhone)",84
"2015-03-30","Windows XP",84
"2021-02-15","Windows 8.1",84
"2021-12-07","Chrome OS",84
"2013-05-21","Windows Vista",84
"2021-10-06","Chrome OS",84
"2020-12-18","Android 1.x",84
"2021-12-21","Chrome OS",84
"2013-10-22","Windows Vista",84
"2014-02-09","Windows XP",84
"2019-10-26","Mac OS X (iPhone)",84
"2017-06-21","iOS (iPad)",84
"2015-04-23","Windows 8",84
"2015-02-06","Windows XP",84
"2015-08-26","Windows XP",84
"2020-08-07","Android 1.x",84
"2022-01-04","Mac OS X (iPhone)",84
"2015-09-30","Windows XP",84
"2016-11-23","Windows XP",84
"2014-10-04","Windows 8",84
"2020-09-24","Android",84
"2014-06-12","Windows XP",84
"2018-07-31","Android",84
"2020-12-23","Android",84
"2019-12-29","Android",83
"2016-11-29","Android",83
"2018-07-17","Mac OS X (iPhone)",83
"2019-10-30","Chrome OS",83
"2020-08-22","Android 1.x",83
"2019-06-15","Windows 8.1",83
"2017-06-19","Mac OS X (iPhone)",83
"2020-06-26","Android",83
"2014-09-09","Windows XP",83
"2014-08-09","Windows 8",83
"2014-06-02","Windows Vista",83
"2021-08-01","Android 1.x",83
"2015-07-22","Windows XP",83
"2021-11-19","Chrome OS",83
"2019-12-05","Android",83
"2020-11-20","Windows 8.1",83
"2014-05-23","Windows XP",83
"2013-01-03","Windows Vista",83
"2013-03-30","Windows 8",83
"2015-03-19","Windows 8",83
"2020-03-23","Chrome OS",83
"2021-09-16","Chrome OS",83
"2020-08-28","Android 1.x",83
"2018-06-26","Mac OS X (iPhone)",83
"2013-03-30","Windows XP",83
"2017-06-22","Android",83
"2020-10-02","Android 1.x",83
"2018-08-18","Mac OS X (iPhone)",83
"2021-08-23","Chrome OS",83
"2015-03-10","Windows XP",83
"2013-07-03","Windows Vista",83
"2019-07-17","Android",83
"2019-09-22","Mac OS X (iPhone)",83
"2013-11-06","Windows Vista",83
"2015-05-12","Windows 8",83
"2019-05-12","Windows 8.1",83
"2020-01-19","Android",83
"2013-04-12","Windows Vista",83
"2013-07-10","Windows Vista",83
"2012-10-28","Mac OS X",83
"2013-04-14","Windows XP",83
"2021-03-31","Android",83
"2014-08-01","Windows Vista",83
"2021-06-13","Windows 7",83
"2020-02-07","Android",83
"2014-01-25","Windows XP",83
"2012-12-07","Windows Vista",83
"2018-09-13","Mac OS X (iPhone)",83
"2020-01-14","Chrome OS",83
"2020-01-05","Windows 8.1",83
"2020-06-04","Android 1.x",83
"2015-03-05","Windows 8",83
"2019-12-17","Android",83
"2014-05-02","Windows Vista",83
"2013-07-06","Windows 8",83
"2013-06-24","Windows Vista",83
"2019-03-26","Chrome OS",83
"2020-04-17","Android",83
"2013-02-24","Windows Vista",83
"2017-04-19","Windows XP",83
"2021-06-29","Chrome OS",83
"2014-03-07","Windows Vista",83
"2013-03-17","Windows Vista",83
"2013-03-29","Windows Vista",83
"2019-11-03","Windows 8.1",83
"2021-10-08","Chrome OS",83
"2020-02-12","Chrome OS",83
"2019-09-06","Android",83
"2013-09-19","Windows Vista",83
"2019-08-13","Mac OS X (iPhone)",83
"2022-01-02","Chrome OS",83
"2021-07-24","Android 1.x",83
"2013-07-22","Windows Vista",83
"2020-08-01","Chrome OS",83
"2013-05-16","Windows Vista",83
"2015-03-19","Windows XP",83
"2020-10-10","Windows 8.1",83
"2013-03-16","Windows 8",83
"2020-01-11","Android",83
"2014-08-26","Windows Vista",83
"2013-05-26","Windows 8",83
"2018-12-15","Windows 8.1",83
"2018-11-07","Mac OS X (iPhone)",83
"2021-06-17","Windows 8.1",83
"2016-12-23","Mac OS X (iPhone)",83
"2013-11-10","Windows XP",82
"2020-10-29","Chrome OS",82
"2013-04-21","Windows XP",82
"2019-11-23","Windows 8.1",82
"2018-12-05","Chrome OS",82
"2014-11-06","Windows XP",82
"2012-11-11","Windows XP",82
"2015-05-27","Windows 8",82
"2021-12-08","Chrome OS",82
"2015-01-14","Windows XP",82
"2019-04-07","Android",82
"2020-04-25","Android",82
"2021-10-14","Chrome OS",82
"2016-02-10","Windows Vista",82
"2014-11-14","Windows 8",82
"2021-07-17","Android 1.x",82
"2018-10-11","Mac OS X (iPhone)",82
"2021-09-05","Android 1.x",82
"2020-01-24","Chrome OS",82
"2021-10-04","Windows 8.1",82
"2013-04-13","Windows XP",82
"2020-05-22","Android",82
"2021-05-24","Chrome OS",82
"2019-07-21","Windows 8.1",82
"2015-07-16","Windows 8",82
"2019-09-29","Mac OS X (iPhone)",82
"2019-03-29","Android",82
"2019-11-03","Mac OS X (iPhone)",82
"2013-02-05","Windows 8",82
"2020-05-30","Chrome OS",82
"2013-12-05","Windows 8.1",82
"2021-01-01","Android 1.x",82
"2021-10-29","Chrome OS",82
"2015-02-09","Windows 8",82
"2020-06-28","Chrome OS",82
"2021-12-15","Chrome OS",82
"2014-01-27","Windows Vista",82
"2020-02-15","Mac OS X (iPhone)",82
"2014-11-02","Windows 8",82
"2013-11-03","Windows XP",82
"2015-06-02","Windows 8",82
"2015-01-19","Windows 8",82
"2019-05-25","Mac OS X (iPhone)",82
"2016-09-13","Windows 8",82
"2021-01-17","Chrome OS",82
"2021-07-05","Chrome OS",82
"2019-05-31","Android",82
"2013-06-27","Windows Vista",82
"2013-11-05","Windows Vista",82
"2013-02-13","Windows 8",82
"2018-05-18","Mac OS X (iPhone)",82
"2015-01-27","Windows Vista",82
"2020-12-29","Chrome OS",82
"2019-06-14","Mac OS X (iPhone)",82
"2019-07-03","Android",82
"2016-06-22","iOS 9 (iPhone)",82
"2015-08-06","Windows 8",82
"2013-09-24","Windows Vista",82
"2021-07-15","Chrome OS",82
"2019-10-06","Mac OS X (iPhone)",82
"2016-02-15","Android",82
"2019-12-14","Mac OS X (iPhone)",82
"2020-08-03","Android 1.x",82
"2020-04-23","Android",82
"2019-11-10","Windows 8.1",82
"2021-07-27","Windows 8.1",82
"2015-03-23","Windows 8",82
"2020-05-24","Chrome OS",82
"2013-03-23","Windows XP",82
"2019-08-14","Android",82
"2013-11-14","Windows Vista",82
"2018-05-01","Mac OS X (iPhone)",82
"2014-01-07","Windows Vista",82
"2020-05-25","Android",82
"2020-09-15","Android",82
"2021-12-11","Windows 7",82
"2020-12-02","Android",82
"2013-09-13","Windows Vista",82
"2013-12-23","Windows XP",82
"2021-08-25","Windows 8.1",82
"2018-04-24","Chrome OS",81
"2012-12-02","Windows XP",81
"2017-06-21","Windows 8",81
"2019-01-30","Chrome OS",81
"2021-03-06","Chrome OS",81
"2013-12-16","Windows 8.1",81
"2018-08-27","Android",81
"2017-04-18","Android",81
"2019-02-16","Android",81
"2014-03-28","Windows Vista",81
"2015-01-30","Windows 8",81
"2014-05-28","Windows Vista",81
"2018-12-10","Android",81
"2020-06-14","Chrome OS",81
"2019-12-26","Windows 8.1",81
"2020-02-11","Chrome OS",81
"2021-08-13","Chrome OS",81
"2020-09-17","Android",81
"2014-04-25","Windows Vista",81
"2018-04-12","Android",81
"2019-08-15","Android",81
"2019-10-24","Android",81
"2021-11-18","Windows 8.1",81
"2013-08-28","Windows Vista",81
"2019-06-02","Windows 8.1",81
"2020-03-19","Chrome OS",81
"2013-04-20","Windows XP",81
"2015-12-25","Android",81
"2017-04-19","Windows 8",81
"2013-10-14","Windows Vista",81
"2019-09-25","iOS (iPad)",81
"2015-09-04","Windows XP",81
"2021-02-13","Chrome OS",81
"2015-03-02","Windows XP",81
"2019-08-21","iOS (iPad)",81
"2016-12-29","Mac OS X (iPhone)",81
"2021-05-07","Chrome OS",81
"2020-03-07","Windows 8.1",81
"2013-12-17","Windows 8.1",81
"2020-09-29","Android",81
"2020-10-29","Android",81
"2013-02-14","Windows 8",81
"2020-03-15","Windows 8.1",81
"2013-11-20","Windows Vista",81
"2020-01-15","Chrome OS",81
"2013-03-17","Windows XP",81
"2018-08-17","Android",81
"2014-07-25","Windows XP",81
"2020-05-08","Android",81
"2020-07-10","Android",81
"2015-05-25","Windows 8",81
"2018-08-28","Mac OS X (iPhone)",81
"2020-07-31","Android 1.x",81
"2013-08-21","Windows Vista",81
"2013-12-13","Windows 8.1",81
"2021-02-12","Windows 8.1",81
"2020-11-09","Chrome OS",81
"2015-01-14","Windows 8",81
"2018-12-13","Mac OS X (iPhone)",81
"2014-12-03","Windows XP",81
"2014-03-23","Windows Vista",81
"2020-01-04","Android",81
"2020-06-20","Android",81
"2015-05-19","Windows XP",81
"2014-01-16","Windows Vista",81
"2021-10-21","Chrome OS",81
"2021-04-26","Chrome OS",81
"2015-08-05","Windows 8",81
"2019-06-06","Chrome OS",81
"2021-01-02","Chrome OS",81
"2019-12-11","Chrome OS",81
"2021-08-15","Android 1.x",81
"2020-01-16","Chrome OS",81
"2015-07-02","Windows XP",81
"2013-11-02","Windows XP",81
"2015-08-25","Windows XP",81
"2016-11-03","iOS (iPad)",81
"2019-10-29","Chrome OS",81
"2014-09-10","Windows XP",81
"2019-04-10","Chrome OS",81
"2014-01-03","Windows Vista",81
"2021-09-28","Chrome OS",81
"2020-11-13","Windows 8.1",81
"2015-04-30","Windows XP",81
"2018-07-06","Mac OS X (iPhone)",81
"2018-12-22","Windows 8.1",81
"2021-02-05","Chrome OS",81
"2012-12-13","Windows Vista",81
"2021-02-20","Chrome OS",81
"2013-06-02","Windows XP",81
"2020-01-28","Chrome OS",81
"2020-09-12","Windows 8.1",81
"2013-07-19","Windows Vista",80
"2019-11-23","Mac OS X (iPhone)",80
"2021-05-09","Android 1.x",80
"2020-02-13","Chrome OS",80
"2015-02-19","Windows 8",80
"2013-12-02","iOS 7 (iPad)",80
"2019-02-02","Android",80
"2020-10-30","Chrome OS",80
"2015-03-03","Windows 8",80
"2015-08-13","Windows XP",80
"2019-11-08","Android",80
"2021-01-21","Android",80
"2014-06-23","Windows XP",80
"2018-11-03","Mac OS X (iPhone)",80
"2015-06-30","Windows XP",80
